# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
2.029891973768033875e+00,0.000000000000000000e+00
4.059783947536067750e+00,0.000000000000000000e+00
6.089675921304101180e+00,1.884424358443445726e+02
8.119567895072135499e+00,1.884424358443445726e+02
1.014945986884016982e+01,1.884424358443445726e+02
1.217935184260820236e+01,5.653273075330337178e+02
1.420924381637623668e+01,7.537697433773782905e+02
1.623913579014427100e+01,1.319097050910412008e+03
1.826902776391230532e+01,2.449751665976479217e+03
2.029891973768033964e+01,2.826636537665168362e+03
2.232881171144837396e+01,3.391963845198202307e+03
2.435870368521640472e+01,4.522618460264269743e+03
2.638859565898443904e+01,6.218600382863371124e+03
2.841848763275247336e+01,8.103024741306816395e+03
3.044837960652050768e+01,9.422121792217229086e+03
3.247827158028854200e+01,9.987449099750261666e+03
3.450816355405657276e+01,1.036433397143895127e+04
3.653805552782461064e+01,1.074121884312764087e+04
3.856794750159264140e+01,1.111810371481632865e+04
4.059783947536067927e+01,1.130654615066067345e+04
4.262773144912871004e+01,1.206031589403805265e+04
4.465762342289674791e+01,1.281408563741543003e+04
4.668751539666477868e+01,1.337941294494846443e+04
4.871740737043280944e+01,1.432162512417018661e+04
5.074729934420084732e+01,1.432162512417018661e+04
5.277719131796887808e+01,1.451006756001453141e+04
5.480708329173691595e+01,1.469850999585887621e+04
5.683697526550494672e+01,1.488695243170322101e+04
5.886686723927298459e+01,1.526383730339191061e+04
6.089675921304101536e+01,1.601760704676928799e+04
6.292665118680905323e+01,1.620604948261363279e+04
6.495654316057708400e+01,1.658293435430232057e+04
6.698643513434511476e+01,1.695981922599101017e+04
6.901632710811314553e+01,1.695981922599101017e+04
7.104621908188119050e+01,1.752514653352404639e+04
7.307611105564922127e+01,1.790203140521273235e+04
7.510600302941725204e+01,1.790203140521273235e+04
7.713589500318528280e+01,1.827891627690142195e+04
7.916578697695332778e+01,1.884424358443445817e+04
8.119567895072135855e+01,1.940957089196749075e+04
8.322557092448938931e+01,1.959801332781183373e+04
8.525546289825742008e+01,1.959801332781183373e+04
8.728535487202545085e+01,1.959801332781183373e+04
8.931524684579349582e+01,1.978645576365618035e+04
9.134513881956152659e+01,1.978645576365618035e+04
9.337503079332955735e+01,1.978645576365618035e+04
9.540492276709758812e+01,1.978645576365618035e+04
9.743481474086561889e+01,1.978645576365618035e+04
9.946470671463366386e+01,1.978645576365618035e+04
